Module,Lesson Name,Description,Language,Type,CWEs,Campaigns
OWASP 3: Injection,Persistence,Exploit directory traversal and persistent XSS vulnerabilities in a poorly protected app.,python,Challenge,"cwe-1347, cwe-1345, cwe-74, cwe-73, cwe-23, cwe-24, cwe-22, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Persistence,Exploit directory traversal and persistent XSS vulnerabilities in a poorly protected app.,rails,Challenge,"cwe-1347, cwe-1345, cwe-74, cwe-73, cwe-23, cwe-24, cwe-22, cwe-high","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 3: Injection,Reflected XSS and input formatting,Cross-site scripting vulnerabilities with HTML input validation,rails,Lesson,"cwe-1347, cwe-74, cwe-79, cwe-80, cwe-87, cwe-high",
OWASP 3: Injection,Stored XSS versus CSP,Defense in depth using CSP against XSS attacks.,dotnet,Lesson,,"Common CWE Culprits for Java, .NET, and JavaScript, Advanced (OWASP 10 advanced labs and challenges), Frontend (Labs most relevant to frontend development topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Stored XSS versus CSP,Defense in depth using CSP against XSS attacks.,node,Lesson,"cwe-1347, cwe-1348, cwe-74, cwe-79, cwe-80, cwe-434, cwe-medium","Common CWE Culprits for Java, .NET, and JavaScript, Advanced (OWASP 10 advanced labs and challenges), Frontend (Labs most relevant to frontend development topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Stored XSS versus CSP,Defense in depth using CSP against XSS attacks.,scala,Lesson,,"Common CWE Culprits for Java, .NET, and JavaScript, Advanced (OWASP 10 advanced labs and challenges), Frontend (Labs most relevant to frontend development topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 3: Injection,Check your sources,Content Security Policy to prevent XSS and other code injection.,java,Lesson,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 3: Injection,Check your sources,Content Security Policy to prevent XSS and other code injection.,python,Lesson,,"Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Frontend (Labs most relevant to frontend development topics), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 3: Injection,Angular HTML and URL sanitization,Cause XSS through improper sanitization and poor variable handoff with Angular.,rails,Lesson,,
OWASP 3: Injection,Angular ERB sanitization,Cause XSS through improper sanitization and poor variable handoff with Angular.,rails,Lesson,,"Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Jot down this key,Modify JWTs by exploiting knowledge of an insecure secret key.,dotnet,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Jot down this key,Modify JWTs by exploiting knowledge of an insecure secret key.,java,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Jot down this key,Modify JWTs by exploiting knowledge of an insecure secret key.,node,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312, cwe-high","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Bulky Updates,Access hidden attributes to take unauthorized actions.,rails,Lesson,"cwe-1349, cwe-1354, cwe-913, cwe-915",All core labs (All topics)
OWASP 5: Security Misconfiguration,Can you keep a secret?,Generate a working session token for another user by exploiting knowledge of an insecure secret key.,flask,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Can you keep a secret?,Generate a working session token for another user by exploiting knowledge of an insecure secret key.,go,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Can you keep a secret?,Generate a working session token for another user by exploiting knowledge of an insecure secret key.,node,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Can you keep a secret?,Generate a working session token for another user by exploiting knowledge of an insecure secret key.,php,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Can you keep a secret?,Generate a working session token for another user by exploiting knowledge of an insecure secret key.,python,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Can you keep a secret?,Generate a working session token for another user by exploiting knowledge of an insecure secret key.,scala,Lesson,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Secret Admin,Escalate JWT user privileges by exploiting knowledge of an insecure secret key.,dotnet,Challenge,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Secret Admin,Escalate JWT user privileges by exploiting knowledge of an insecure secret key.,flask,Challenge,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Secret Admin,Escalate JWT user privileges by exploiting knowledge of an insecure secret key.,java,Challenge,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Secret Admin,Escalate JWT user privileges by exploiting knowledge of an insecure secret key.,rails,Challenge,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 5: Security Misconfiguration,Secret Admin,Escalate JWT user privileges by exploiting knowledge of an insecure secret key.,scala,Challenge,"cwe-1349, cwe-287, cwe-798, cwe-321, cwe-312","Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,dotnet,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,flask,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,go,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,java,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,node,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,php,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,python,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,rails,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,eXternal Entity (injection),Unsafe entity parsing reveals the contents of server files.,scala,Lesson,"cwe-1349, cwe-1347, cwe-610, cwe-611","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 5: Security Misconfiguration,XML is always a...,Get access to sensitive data by injecting custom XML.,dotnet,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 5: Security Misconfiguration,XML is always a...,Get access to sensitive data by injecting custom XML.,flask,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 5: Security Misconfiguration,XML is always a...,Get access to sensitive data by injecting custom XML.,go,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 5: Security Misconfiguration,XML is always a...,Get access to sensitive data by injecting custom XML.,python,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 5: Security Misconfiguration,XML is always a...,Get access to sensitive data by injecting custom XML.,rails,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 5: Security Misconfiguration,XML is always a...,Get access to sensitive data by injecting custom XML.,scala,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 5: Security Misconfiguration,External Resolution,"Retrieve a system file by injecting custom XML, then defend against XXE.",flask,Challenge,"cwe-1349, cwe-1347, cwe-610, cwe-611","Frontend (Labs most relevant to frontend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,dotnet,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,flask,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,go,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,java,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,node,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,python,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,rails,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,php,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Suspicious Packages,Find and exploit vulnerabilities in outdated packages.,scala,Lesson,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Outdated Dependencies,"Find and upgrade an outdated, vulnerable dependency.",dotnet,Challenge,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Outdated Dependencies,"Find and upgrade an outdated, vulnerable dependency.",flask,Challenge,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Outdated Dependencies,"Find and upgrade an outdated, vulnerable dependency.",java,Challenge,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Outdated Dependencies,"Find and upgrade an outdated, vulnerable dependency.",rails,Challenge,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP 6: Vulnerable and Outdated Components,Outdated Dependencies,"Find and upgrade an outdated, vulnerable dependency.",scala,Challenge,"cwe-1352, cwe-1357, cwe-1104, cwe-1320","Advanced (OWASP 10 advanced labs and challenges), Skills assessment (Challenges across OWASP 10), All core labs (All topics)"
OWASP API 5: Broken Function Level Authorization,Neglected endpoints,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 5: Broken Function Level Authorization,Neglected endpoints,,java,Lesson,,OWASP API Security Top 10
OWASP API 6: Mass Assignment,Bad Design Compromises Security,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 6: Mass Assignment,Bad Design Compromises Security,,java,Lesson,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,Jot down this key,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,Jot down this key,,java,Lesson,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,Secret Admin,,dotnet,Challenge,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,Secret Admin,,java,Challenge,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,eXternal Entity (injection),,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,eXternal Entity (injection),,java,Lesson,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,XML is always a,,dotnet,Challenge,,OWASP API Security Top 10
OWASP API 7: Security Misconfiguration,XML is always a,,java,Challenge,,OWASP API Security Top 10
OWASP API 8: Injection,Own the database,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 8: Injection,Own the database,,java,Lesson,,OWASP API Security Top 10
OWASP API 8: Injection,Parameterize all the things,,dotnet,Lesson,,OWASP API Security Top 10
OWASP API 8: Injection,Parameterize all the things,,java,Lesson,,OWASP API Security Top 10
OWASP API 8: Injection,Bobby Tables,,dotnet,Challenge,,OWASP API Security Top 10
OWASP API 8: Injection,Bobby Tables,,java,Challenge,,OWASP API Security Top 10
OWASP API 9: Improper Assets Management,Unprotected deployments,"It is important for developers to add the same level of security to their development, test, QA, and other environments, as they do for production. ",dotnet,Lesson,,OWASP API Security Top 10
OWASP API 10: Insufficient Logging & Monitoring,The Importance of Logging and Monitoring,"Log files are critical to enhance security. They provide a way to monitor how your API is being used, providing a way to avoid an underlying attack.",dotnet,Lesson,,OWASP API Security Top 10
OWASP API 10: Insufficient Logging & Monitoring,Logging in the API Infrastructure,"The API infrastructure is offered by the technology stack and includes authorization, authentication, exception handling, routing, and so forth. Logging at the infrastructure level helps to detect attacks that would otherwise be impossible to detect at the API implementation level.",dotnet,Lesson,,OWASP API Security Top 10
OWASP 4: Insecure Design,Making Secure Decisions,Insecure design decisions can lead to vulnerabilities at every level of an application.,node,Lesson,"cwe-1348, cwe-710, cwe-657","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 4: Insecure Design,Making Secure Decisions,Insecure design decisions can lead to vulnerabilities at every level of an application.,java,Lesson,"cwe-1348, cwe-710, cwe-657","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 4: Insecure Design,Making Secure Decisions,Insecure design decisions can lead to vulnerabilities at every level of an application.,dotnet,Lesson,"cwe-1348, cwe-710, cwe-657","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 4: Insecure Design,Making Secure Decisions,Insecure design decisions can lead to vulnerabilities at every level of an application.,flask,Lesson,"cwe-1348, cwe-710, cwe-657","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 4: Insecure Design,Making Secure Decisions,Insecure design decisions can lead to vulnerabilities at every level of an application.,python,Lesson,"cwe-1348, cwe-710, cwe-657","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 4: Insecure Design,Making Secure Decisions,Insecure design decisions can lead to vulnerabilities at every level of an application.,go,Lesson,"cwe-1348, cwe-710, cwe-657","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics)"
OWASP 4: Insecure Design,Valid Deficit,"CWE-1173 occurs when an application does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.",node,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 4: Insecure Design,Valid Deficit,"CWE-1173 occurs when an application does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.",dotnet,Lesson,"cwe-1348, cwe-1173, cwe-1215, cwe-20, cwe-1174","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 4: Insecure Design,Valid Deficit,"CWE-1173 occurs when an application does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library.",java,Lesson,"cwe-1348, cwe-1174, cwe-1173, cwe-1215, cwe-20","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
Basic terminal usage,Introduction to Bash 1,Shell commands to navigate around directories and modify files.,shell,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Basic terminal usage,Introduction to Bash 2,"Navigate files and folders more efficiently, and search for file contents.",shell,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
Basic terminal usage,Introduction to Bash 3,Preview the contents of files; create new folders and move files around.,shell,Lesson,,"Beginner (Introduction to the terminal and basic OWASP 10), All core labs (All topics)"
OWASP 10: Server-Side Request Forgery,Get there from here,,java,Lesson,"cwe-1356, cwe-441, cwe-918, cwe-610","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 10: Server-Side Request Forgery,Get there from here,,node,Lesson,"cwe-1356, cwe-441, cwe-918, cwe-610","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 10: Server-Side Request Forgery,Get there from here,,dotnet,Lesson,"cwe-1356, cwe-441, cwe-918, cwe-610","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 10: Server-Side Request Forgery,Get there from here,,flask,Lesson,"cwe-1356, cwe-441, cwe-918, cwe-610","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 10: Server-Side Request Forgery,Get there from here,,python,Lesson,"cwe-1356, cwe-441, cwe-918, cwe-610","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 10: Server-Side Request Forgery,Get there from here,,go,Lesson,"cwe-1356, cwe-441, cwe-918, cwe-610","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), Advanced (OWASP 10 advanced labs and challenges), All core labs (All topics), Common CWE Culprits for Java, .NET, and JavaScript"
OWASP 7: Identification and Authentication Failures,"Really, really bad passwords",Enforce server-side password requirements and hash passwords securely.,dotnet,Lesson,"cwe-1353, cwe-287, cwe-521, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Really, really bad passwords",Enforce server-side password requirements and hash passwords securely.,flask,Lesson,"cwe-1353, cwe-287, cwe-521, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Really, really bad passwords",Enforce server-side password requirements and hash passwords securely.,java,Lesson,"cwe-1353, cwe-287, cwe-521, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Really, really bad passwords",Enforce server-side password requirements and hash passwords securely.,python,Lesson,"cwe-1353, cwe-287, cwe-521, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Really, really bad passwords",Enforce server-side password requirements and hash passwords securely.,rails,Lesson,"cwe-1353, cwe-287, cwe-521, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Really, really bad passwords",Enforce server-side password requirements and hash passwords securely.,scala,Lesson,"cwe-1353, cwe-287, cwe-521, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
OWASP 7: Identification and Authentication Failures,"Hash it, store it, salt - upgrade it",Encrypting user passwords securely.,flask,Lesson,"cwe-1353, cwe-1346, cwe-327, cwe-916, cwe-759, cwe-760, cwe-high","Beginner (Introduction to the terminal and basic OWASP 10), Intermediate (OWASP 10 additional topics and optional challenges), PCI (Required labs covering all PCI compliance topics), Backend (Labs covering backend development topics), All core labs (All topics)"
